Altium Designer Pick and Place Locations
C:\Users\Graeme\AppData\Local\TempReleases\Snapshot\1\Assembly\Assembly Outputs\Pick Place for BeamBreakFix.csv

========================================================================================================================
File Design Information:

Date:       03/11/23
Time:       12:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FID2","FID-ROUND","BottomLayer","Fid_Round","6.0000","8.0000","90","Round Fiducial"
"FID1","FID-ROUND","BottomLayer","Fid_Round","-5.0000","43.0000","90","Round Fiducial"
"R5","R0603-4k7-1/16W-0.1%","BottomLayer","FP-CPF0603-IPC_B","4.5000","13.0000","90","Surface Mount Resistor 4.7k Ohm 1/16 W 0.1% 0603 (1608 Metric)"
"R4","R0603-100k-1/16W-0.1%","BottomLayer","FP-CPF0603-IPC_B","4.5000","16.0000","90","Surface Mount Resistor 100k Ohm 1/16 W 0.1% 0603 (1608 Metric)"
"Q1","DMG2305UX-7","BottomLayer","FP-SOT23-IPC_B","4.4000","45.0000","180","Power Field-Effect Transistor, 4.2A I(D), 20V, 0.052ohm, 1-Element, P-Channel, Silicon, Metal-oxide Semiconductor FET"
"R3","R0603-1M-1/16W-0.1%","BottomLayer","FP-CPF0603-IPC_B","0.0000","11.7500","180","Surface Mount Resistor 1M Ohm 1/16 W 0.1% 0603 (1608 Metric)"
"R2","R0603-1M-1/16W-0.1%","BottomLayer","FP-CPF0603-IPC_B","0.0000","13.0000","0","Surface Mount Resistor 1M Ohm 1/16 W 0.1% 0603 (1608 Metric)"
"R1","R0603-150R-1/16W-0.1%","BottomLayer","FP-CPF0603-IPC_B","-5.2500","46.2500","0","Surface Mount Resistor 150 Ohm 1/16 W 0.1% 0603 (1608 Metric)"
"J3","53261-0471","BottomLayer","MOLEX_53261-0471","0.0000","3.2440","180","MOLEX 1.25mm (.049") Pitch PicoBlade Header, Surface Mount, Right Angle, Lead-free, 4 Circuits"
"C3","C0603-1nF-50V-1%-C0G","BottomLayer","FP-0603-L_1_6_0_15-W_0_81-IPC_C","0.0000","10.5000","0","0.001µF ±1% 50V Ceramic Capacitor C0G 0603 (1608 Metric)"
"U1","OPA2353EA/250","BottomLayer","DGK0008A_N","0.0000","15.2500","180","Operational Amplifier, 2 Func, 8000uV Offset-Max, CMOS, PDSO8"
"J4","53261-0471","BottomLayer","MOLEX_53261-0471","0.0000","48.0560","0","MOLEX 1.25mm (.049") Pitch PicoBlade Header, Surface Mount, Right Angle, Lead-free, 4 Circuits"
"C1","C0603-100nF-100V-10%-X7R","BottomLayer","FP-GRM188-0_1-e0_2_0_5-IPC_B","0.0000","18.0000","180","0.1µF ±10% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"
"J2","SSW-120-01-x-S - 21-40","TopLayer","SAMTEC_SSW-120-01-G-S_-_21-40","8.8900","25.6350","90","Conn Socket Strip SKT 20 POS 2.54mm Solder ST Thru-Hole (pins 21 - 40)"
"J1","SSW-120-01-x-S","TopLayer","SAMTEC_SSW-120-01-G-S","-8.8900","25.6350","270","Conn Socket Strip SKT 20 POS 2.54mm Solder ST Thru-Hole"
